Trainer Name,Topics,Grades,Batch,Timing,Date
FAC_5001,Rocking with rhymes,Grades 1-2,[I],11:15 am,April 16
FAC_5002,In my mind's eye,Grades 3-4,[I],11:15 am,April 16
FAC_5003,Word Whiz,Grades 1-2,[II],11:15 am,April 16
FAC_5006,Rocking with rhymes,Grades 3-4,[II],11:15 am,April 16
FAC_5007,In my head or real,Grades 3-4,[I],4:00 pm,April 16
FAC_5008,storm in my brain,Grades 3-4,[II],4:00 pm,April 16
FAC_5009,word whiz,Grades 1-2,[I],4:00 pm,April 16
FAC_5011,Rocking with rhymes,Grades 1-2,[II],4:00 pm,April 16
FAC_5012,Name it,Grades 1-2,[I],6:15 pm,April 16
FAC_5013,Meet the magic 'e',Grades 1-2,[II],6:15 pm,April 16
FAC_5014,Storm in my brain,Grades 3-4,[I],6:15 pm,April 16
FAC_5009,Name it,Grades 1-2,[III],6:15 pm,April 16
FAC_5015,In my head or real,Grades 3-4,[II],6:15 pm,April 16
FAC_5002,Sum it up,Grades 3-4,[III],6:15 pm,April 16
FAC_5016,In my mind's eye,Grades 1-2,[I],11:15 am,April 17
FAC_5006,Name it,Grades 3-4,[I],11:15 am,April 17
FAC_5017,Word Whiz,Grades 1-2,[II],11:15 am,April 17
CANCELLED,Storm in my brain,Grades 3-4,[II],11:15 am,April 17
FAC_5015,In my head or real,Grades 3-4,[I],4:00 pm,April 17
FAC_5008,Sum it up,Grades 3-4,[II],4:00 pm,April 17
FAC_5019,In my mind's eye,Grades 1-2,[I],4:00 pm,April 17
FAC_5002,Meet the magic 'e',Grades 1-2,[II],4:00 pm,April 17
FAC_5020,Category Spin,Grades 1-2,[I],6:15 pm,April 17
FAC_5012,Name it,Grades 1-2,[II],6:15 pm,April 17
FAC_5014,In my head or real?,Grades 3-4,[I],6:15 pm,April 17
FAC_5009,Structure of a story,Grades 1-2,[III],6:15 pm,April 17
FAC_5015,In my head or real?,Grades 3-4,[II],6:15 pm,April 17
FAC_5002,Storm in my brain,Grades 3-4,[III],6:15 pm,April 17
#N/A,Word Whiz,Grades 1-2,[I],11:15 am,April 18
FAC_5021,Storm in my brain,Grades 3-4,[I],11:15 am,April 18
FAC_5017,Word Whiz,Grades 1-2,[II],11:15 am,April 18
FAC_5004,Name it,Grades 1-2,[III],11:15 am,April 18
FAC_5003,Category Spin,Grades 3-4,[II],11:15 am,April 18
FAC_5008,Sum it up,Grades 3-4,[III],11:15 am,April 18
FAC_5002,Spelling Star,Grades 3-4,[I],4:00 pm,April 18
FAC_5022,Play with Punctuation,Grades 3-4,[II],4:00 pm,April 18
FAC_5015,Structure of a story,Grades 1-2,[I],4:00 pm,April 18
FAC_5004,Word Whiz,Grades 1-2,[II],4:00 pm,April 18
FAC_5023,Related words / Category Spin,Grades 3-4,[III],4:00 pm,April 18
FAC_5009,Sum it up,Grades 1-2,[III],4:00 pm,April 18
FAC_5024,Word Whiz,Grades 1-2,[I],6:15 pm,April 18
FAC_5012,Name it,Grades 1-2,[II],6:15 pm,April 18
FAC_5014,Storm in my brain,Grades 3-4,[I],6:15 pm,April 18
FAC_5009,Rocking with rhymes,Grades 1-2,[III],6:15 pm,April 18
FAC_5002,Elements of a story,Grades 3-4,[II],6:15 pm,April 18
FAC_5019,Word Whiz,Grades 3-4,[III],6:15 pm,April 18
FAC_5011,Name it,Grades 1-2,[I],11:15 am,April 19
FAC_5021,Storm in my brain,Grades 3-4,[I],11:15 am,April 19
FAC_5017,Word Whiz,Grades 1-2,[II],11:15 am,April 19
FAC_5004,Meet the magic 'e',Grades 1-2,[III],11:15 am,April 19
FAC_5002,In my head or real?,Grades 3-4,[II],11:15 am,April 19
FAC_5008,Making connections,Grades 3-4,[III],11:15 am,April 19
FAC_5002,Storm in my brain,Grades 3-4,[I],4:00 pm,April 19
FAC_5024,Play with Punctuations,Grades 3-4,[II],4:00 pm,April 19
FAC_5015,Name it,Grades 1-2,[I],4:00 pm,April 19
FAC_5004,Word Whiz,Grades 1-2,[II],4:00 pm,April 19
FAC_5022,In my mind's eye,Grades 3-4,[III],4:00 pm,April 19
FAC_5006,Name it,Grades 1-2,[III],4:00 pm,April 19
FAC_5024,Word Whiz,Grades 1-2,[I],6:15 pm,April 19
FAC_5015,Word Whiz,Grades 1-2,[II],6:15 pm,April 19
FAC_5009,Sum it up,Grades 3-4,[I],6:15 pm,April 19
FAC_5016,Rocking with rhymes,Grades 1-2,[III],6:15 pm,April 19
FAC_5010,Storm in my brain,Grades 3-4,[II],6:15 pm,April 19
FAC_5019,In my mind's eye,Grades 3-4,[III],6:15 pm,April 19
FAC_5015,In my mind's eye,Grades 1-2,[I],11:45 am,April 20
FAC_5011,Rocking with rhymes,Grades 3-4,[I],11:45 am,April 20
FAC_5025,Name it,Grades 1-2,[II],11:45 am,April 20
FAC_5026,Category Spin,Grades 3-4,[II],11:45 am,April 20
FAC_5027,Word Whiz,Grades 1-2,[III],11:45 am,April 20
FAC_5009,Category Spin,Grades 3-4,[III],11:45 am,April 20
FAC_5028,Name it,Grades 3-4,[IV],11:45 am,April 20
FAC_5008,Category Spin,Grades 3-4,[I],6:00 pm,April 20
FAC_5029,In my head or real?,Grades 1-2,[I],6:00 pm,April 20
FAC_5026,Name it,Grades 3-4,[II],6:00 pm,April 20
FAC_5009,In my head or real?,Grades 1-2,[II],6:00 pm,April 20
FAC_5030,Meet the magic 'e',Grades 3-4,[III],6:00 pm,April 20
FAC_5031,Word Whiz,Grades 1-2,[III],6:00 pm,April 20
FAC_5020,Play with Punctuation,Grades 3-4,[IV],6:00 pm,April 20
FAC_5015,Storm in my brain,Grades 3-4,[I],11:45 am,April 21
FAC_5027,Name it,Grades 1-2,[I],11:45 am,April 21
FAC_5029,In my mind's eye,Grades 3-4,[II],11:45 am,April 21
FAC_5033,Meet the magic 'e',Grades 1-2,[II],11:45 am,April 21
FAC_5008,Category Spin,Grades 3-4,[III],11:45 am,April 21
FAC_5034,Sum it up,Grades 1-2,[III],11:45 am,April 21
FAC_5034,Play with Punctuatiom,Grades 3-4,[I],6:00 pm,April 21
FAC_5035,Structure of a story,Grades 1-2,[I],6:00 pm,April 21
FAC_5015,Word Whiz,Grades 3-4,[II],6:00 pm,April 21
FAC_5031,In my mind's eye,Grades 1-2,[II],6:00 pm,April 21
FAC_5020,Emotional Energy,Grades 3-4,[III],6:00 pm,April 21
FAC_5009,Word Whiz,Grades 3-4,[I],11:45 am,April 22
FAC_5011,In my mind's eye,Grades 1-2,[I],11:45 am,April 22
FAC_5028,Structure of a story,Grades 3-4,[II],11:45 am,April 22
FAC_5033,Structure of a story,Grades 1-2,[II],11:45 am,April 22
FAC_5036,Category spin,Grades 3-4,[III],11:45 am,April 22
FAC_5029,In my mind's eye,Grades 1-2,[III],11:45 am,April 22
FAC_5037,Word Whiz,Grades 3-4,[I],6:00 pm,April 22
FAC_5009,Emotional Energy,Grades 1-2,[I],6:00 pm,April 22
FAC_5029,Name it,Grades 3-4,[II],6:00 pm,April 22
FAC_5038,In my mind's eye,Grades 1-2,[II],6:00 pm,April 22
FAC_5031,In my mind's eye,Grades 1-2,[III],6:00 pm,April 22
FAC_5027,Name it,Grades 3-4,[III],6:00 pm,April 22
FAC_5011,Rocking with Rhymes,Grades 3-4,[I],11:45 am,April 23
FAC_5027,Word Whiz,Grades 1-2,[I],11:45 am,April 23
FAC_5028,In my head or real?,Grades 3-4,[II],11:45 am,April 23
FAC_5033,In my mind's eye,Grades 1-2,[II],11:45 am,April 23
FAC_5036,In my head or real?,Grades 3-4,[III],11:45 am,April 23
FAC_5039,Word Whiz,Grades 1-2,[III],11:45 am,April 23
FAC_5037,Structure of a story,Grades 3-4,[I],6:00 pm,April 23
FAC_5009,Structure of a story,Grades 1-2,[I],6:00 pm,April 23
FAC_5040,Word Whiz,Grades 3-4,[II],6:00 pm,April 23
FAC_5013,In my mind's eye,Grades 1-2,[II],6:00 pm,April 23
FAC_5031,Rocking with Rhymes,Grades 1-2,[III],6:00 pm,April 23
FAC_5039,Word Whiz,Grades 3-4,[III],6:00 pm,April 23
FAC_5041,Rocking with Rhymes,Grades 3-4,[IV],6:00 pm,April 23
FAC_5039,Word Whiz,Grades 3-4,[I],11:45 am,April 24
FAC_5043,Rocking with Rhymes,Grades 1-2,[I],11:45 am,April 24
FAC_5011,Elements of a story,Grades 3-4,[II],11:45 am,April 24
FAC_5028,Structure of a story,Grades 1-2,[II],11:45 am,April 24
FAC_5040,Storm in my brain,Grades 3-4,[IV],11:45 am,April 24
FAC_5044,Sum it up,Grades 1-2,[IV],11:45 am,April 24
FAC_5038,In my head or real?,Grades 3-4,[I],6:00 pm,April 24
FAC_5002,In my mind's eye,Grades 1-2,[I],6:00 pm,April 24
FAC_5044,Elements of a story,Grades 3-4,[IV],6:00 pm,April 24
FAC_5031,Name it,Grades 1-2,[IV],6:00 pm,April 24
FAC_5039,In my mind's eye,Grades 1-2,[III],6:00 pm,April 24
FAC_5009,In my head or real?,Grades 3-4,[III],6:00 pm,April 24
FAC_5006,Word Whiz,Grades 1-2,[II],6:00 pm,April 24
FAC_5040,Storm in my brain,Grades 3-4,[II],6:00 pm,April 24
FAC_5046,Elements of a Story,Grades 3-4,[I],11:45 am,April 25
FAC_5039,Word Whiz,Grades 3-4,[II],11:45 am,April 25
FAC_5044,Rocking with rhymes,Grades 1-2,[I],11:45 am,April 25
FAC_5043,Play with Punctuation,Grades 3-4,[III],11:45 am,April 25
FAC_5047,Rocking with rhymes,Grades 1-2,[II],11:45 am,April 25
FAC_5040,Rocking with rhymes,Grades 1-2,[III],11:45 am,April 25
FAC_5048,Word Whiz,Grades 1-2,[IV],11:45 am,April 25
FAC_5008,Making Connections,Grades 3-4,[I],4:00 pm,April 25
FAC_5049,Word Whiz,Grades 1-2,[I],4:00 pm,April 25
FAC_5040,Rocking with rhymes,Grades 3-4,[I],6:00 pm,April 25
FAC_5009,Elements of a story,Grades 3-4,[II],6:00 pm,April 25
FAC_5024,Structure of a story,Grades 1-2,[I],6:00 pm,April 25
FAC_5039,Category Spin,Grades 3-4,[III],6:00 pm,April 25
FAC_5011,Category Spin,Grades 1-2,[II],6:00 pm,April 25
CANCELLED,In my mind's eye,Grades 1-2,[III],6:00 pm,April 25
FAC_5002,Spelling Star,Grades 3-4,[IV],6:00 pm,April 25
FAC_5050,Word Whiz,Grades 1-2,[IV],6:00 pm,April 25
FAC_5051,Word Whiz,Grades 1-2,[III],11:45 am,April 26
FAC_5039,Spelling star,Grades 3-4,[III],11:45 am,April 26
FAC_5046,Making connections,Grades 3-4,[I],11:45 am,April 26
FAC_5016,In my mind's eye,Grades 1-2,[I],11:45 am,April 26
FAC_5015,Sum it up,Grades 3-4,[II],11:45 am,April 26
FAC_5052,Structure of a story,Grades 1-2,[II],11:45 am,April 26
FAC_5008,In my head or real?,Grades 3-4,[IV],11:45 am,April 26
FAC_5040,Rocking with Rhymes,Grades 1-2,[IV],11:45 am,April 26
FAC_5040,Storm in my brain,Grades 3-4,[III],6:00 pm,April 26
FAC_5028,Category Spin,Grades 3-4,[I],6:00 pm,April 26
FAC_5051,Rocking with Rhymes,Grades 1-2,[I],6:00 pm,April 26
FAC_5039,Rocking with Rhymes,Grades 3-4,[II],6:00 pm,April 26
FAC_5052,Sum it up,Grades 1-2,[II],6:00 pm,April 26
FAC_5031,In my mind's eye,Grades 1-2,[IV],6:00 pm,April 26
FAC_5038,Rocking with Rhymes,Grades 3-4,[IV],6:00 pm,April 26
FAC_5019,Category Spin,Grades 1-2,[I],11:45 am,April 27
FAC_5006,In my head or real?,Grades 3-4,[I],11:45 am,April 27
FAC_5052,Name it,Grades 3-4,[II],11:45 am,April 27
FAC_5008,In my mind's eye,Grades 1-2,[II],11:45 am,April 27
FAC_5002,In my mind's eye,Grades 3-4,[III],11:45 am,April 27
FAC_5053,Contract it,Grades 1-2,[IV],11:45 am,April 27
CANCELLED,Play with Punctuation,Grades 3-4,[IV],11:45 am,April 27
FAC_5028,Structure of a story,Grades 1-2,[I],6:00 pm,April 27
FAC_5039,Category Spin,Grades 3-4,[I],6:00 pm,April 27
FAC_5009,Emotional energy,Grades 3-4,[IV],6:00 pm,April 27
FAC_5040,In my mind's eye,Grades 1-2,[IV],6:00 pm,April 27
FAC_5038,Play with Punctuation,Grades 3-4,[II],6:00 pm,April 27
FAC_5002,Word Whiz,Grades 1-2,[II],6:00 pm,April 27
FAC_5022,Rocking with rhymes,Grades 1-2,[III],6:00 pm,April 27
